,name,description
59,CLIJ2 Binary X Or,"Computes a binary image (containing pixel values 0 and 1) from two images X and Y by connecting pairs of<br/>pixels x and y with the binary operators AND &, OR | and NOT ! implementing the XOR operator.<br/><br/>All pixel values except 0 in the input images are interpreted as 1.<br/><br/><pre>f(x, y) = (x & !y) | (!x & y)</pre><br/><br/>Parameters<br/>----------<br/>operand1 : Image<br/>    The first binary input image to be processed.<br/>operand2 : Image<br/>    The second binary input image to be processed.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image operand1, Image operand2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
60,CLIJ2 Bottom Hat Box,"Apply a bottom-hat filter for background subtraction to the input image.<br/><br/>Parameters<br/>----------<br/>input : Image<br/>    The input image where the background is subtracted from.<br/>destination : Image<br/>    The output image where results are written into.<br/>radius_x : Image<br/>    Radius of the background determination region in X.<br/>radius_y : Image<br/>    Radius of the background determination region in Y.<br/>radius_z : Image<br/>    Radius of the background determination region in Z.<br/><br/><br/>Parameters: Image input, ByRef Image destination, Number radiusX, Number radiusY, Number radiusZ<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
61,CLIJ2 Bottom Hat Sphere,"Applies a bottom-hat filter for background subtraction to the input image.<br/><br/>Parameters<br/>----------<br/>input : Image<br/>    The input image where the background is subtracted from.<br/>destination : Image<br/>    The output image where results are written into.<br/>radius_x : Image<br/>    Radius of the background determination region in X.<br/>radius_y : Image<br/>    Radius of the background determination region in Y.<br/>radius_z : Image<br/>    Radius of the background determination region in Z.<br/><br/><br/>Parameters: Image input, ByRef Image destination, Number radiusX, Number radiusY, Number radiusZ<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
62,CLIJ2 Bounding Box,"Determines the bounding box of all non-zero pixels in a binary image. <br/><br/>If called from macro, the positions will be stored in a new row of ImageJs Results table in the columns 'BoundingBoxX', 'BoundingBoxY', 'BoundingBoxZ', 'BoundingBoxWidth', 'BoundingBoxHeight' 'BoundingBoxDepth'.In case of 2D images Z and depth will be zero.<br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
63,CLIJ2 Center Of Mass,"Determines the center of mass of an image or image stack. <br/><br/>It writes the result in the results table<br/>in the columns MassX, MassY and MassZ.<br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
64,CLIJ2 Centroids Of Background And Labels,"Determines the centroids of the background and all labels in a label image or image stack. <br/><br/>It writes the resulting  coordinates in a pointlist image. Depending on the dimensionality d of the labelmap and the number  of labels n, the pointlist image will have n*d pixels.<br/><br/>Parameters: Image source, ByRef Image pointlist_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
65,CLIJ2 Centroids Of Labels,"Determines the centroids of all labels in a label image or image stack. <br/><br/>It writes the resulting  coordinates in a pointlist image. Depending on the dimensionality d of the labelmap and the number  of labels n, the pointlist image will have n*d pixels.<br/><br/>Parameters: Image source, ByRef Image pointlist_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
66,CLIJ2 Close Index Gaps In Label Map,"Analyses a label map and if there are gaps in the indexing (e.g. label 5 is not present) all <br/>subsequent labels will be relabelled. <br/><br/>Thus, afterwards number of labels and maximum label index are equal.<br/>This operation is mostly performed on the CPU.<br/><br/>Parameters: Image labeling_input, ByRef Image labeling_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
67,CLIJ2 Closing Box,"Apply a binary closing to the input image by calling n dilations and n erosions subsequenntly.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_dilations_and_erosions<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
68,CLIJ2 Closing Diamond,"Apply a binary closing to the input image by calling n dilations and n erosions subsequently.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_dilations_and_erotions<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
69,CLIJ2 Combine Horizontally,"Combines two images or stacks in X.<br/><br/>Parameters: Image stack1, Image stack2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
70,CLIJ2 Combine Vertically,"Combines two images or stacks in Y.<br/><br/>Parameters: Image stack1, Image stack2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
71,CLIJ2 Concatenate Stacks,"Concatenates two stacks in Z.<br/><br/>Parameters: Image stack1, Image stack2, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
